No,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,Big Fire
1,85.8,48.3,313.4,3.9,18,42,2.7,0,0.36,0
2,91,129.5,692.6,7,21.7,38,2.2,0,0.43,0
3,90.9,126.5,686.5,7,21.9,39,1.8,0,0.47,0
4,95.5,99.9,513.3,13.2,23.3,31,4.5,0,0.55,0
5,90.1,108,529.8,12.5,21.2,51,8.9,0,0.61,0
6,90,51.3,296.3,8.7,16.6,53,5.4,0,0.71,0
7,95.5,99.9,513.3,13.2,23.8,32,5.4,0,0.77,0
8,95.2,131.7,578.8,10.4,27.4,22,4,0,0.9,0
9,90.1,39.7,86.6,6.2,13.2,40,5.4,0,0.95,0
10,84.4,73.4,671.9,3.2,24.2,28,3.6,0,0.96,0
11,94.8,108.3,647.1,17,17.4,43,6.7,0,1.07,0
12,93.7,80.9,685.2,17.9,23.7,25,4.5,0,1.12,0
13,92.5,56.4,433.3,7.1,23.2,39,5.4,0,1.19,0
14,90.1,68.6,355.2,7.2,24.8,29,2.2,0,1.36,0
15,90.1,51.2,424.1,6.2,24.6,43,1.8,0,1.43,0
16,94.3,85.1,692.3,15.9,20.1,47,4.9,0,1.46,0
17,93.4,145.4,721.4,8.1,29.6,27,2.7,0,1.46,0
18,94.8,108.3,647.1,17,16.4,47,1.3,0,1.56,0
19,93.4,145.4,721.4,8.1,28.6,27,2.2,0,1.61,0
20,92.1,111.2,654.1,9.6,18.4,45,3.6,0,1.63,0
21,92.1,111.2,654.1,9.6,20.5,35,4,0,1.64,0
22,92.4,117.9,668,12.2,19,34,5.8,0,1.69,0
23,90.1,39.7,86.6,6.2,16.1,29,3.1,0,1.75,0
24,95.2,131.7,578.8,10.4,20.3,41,4,0,1.9,0
25,90.6,50.1,100.4,7.8,15.2,31,8.5,0,1.94,0
26,92.5,121.1,674.4,8.6,17.8,56,1.8,0,1.95,0
27,89.7,90,704.4,4.8,17.8,67,2.2,0,2.01,0
28,84.9,18.2,55,3,5.3,70,4.5,0,2.14,0
29,92.1,111.2,654.1,9.6,16.6,47,0.9,0,2.29,0
30,96,127.1,570.5,16.5,23.4,33,4.5,0,2.51,0
31,91.2,48.3,97.8,12.5,14.6,26,9.4,0,2.53,0
32,95.2,131.7,578.8,10.4,20.7,45,2.2,0,2.55,0
33,92.9,133.3,699.6,9.2,21.9,35,1.8,0,2.57,0
34,85.6,90.4,609.6,6.6,17.4,50,4,0,2.69,0
35,91.4,142.4,601.4,10.6,20.1,39,5.4,0,2.74,0
36,90.9,126.5,686.5,7,17.7,39,2.2,0,3.07,0
37,90.2,96.9,624.2,8.9,14.2,53,1.8,0,3.5,0
38,90.2,96.9,624.2,8.9,20.3,39,4.9,0,4.53,0
39,81.5,9.1,55.2,2.7,5.8,54,5.8,0,4.61,0
40,90.2,99.6,631.2,6.3,19.2,44,2.7,0,4.69,0
41,90.1,82.9,735.7,6.2,18.3,45,2.2,0,4.88,0
42,88.8,147.3,614.5,9,14.4,66,5.4,0,5.23,0
43,92.4,124.1,680.7,8.5,23.9,32,6.7,0,5.33,0
44,84.9,32.8,664.2,3,19.1,32,4,0,5.44,0
45,86.8,15.6,48.3,3.9,12.4,53,2.2,0,6.38,0
46,91.7,48.5,696.1,11.1,16.8,45,4.5,0,6.83,0
47,93.9,135.7,586.7,15.1,20.8,34,4.9,0,6.96,0
48,91,129.5,692.6,7,17.6,46,3.1,0,7.04,0
49,89.3,51.3,102.2,9.6,11.5,39,5.8,0,7.19,0
50,90.9,126.5,686.5,7,21,42,2.2,0,7.3,0
51,90.8,41.9,89.4,7.9,13.3,42,0.9,0,7.4,0
52,90.7,44,92.4,5.5,11.5,60,4,0,8.24,0
53,91.2,48.3,97.8,12.5,11.7,33,4,0,8.31,0
54,95.2,131.7,578.8,10.4,24.2,28,2.7,0,8.68,0
55,94.8,108.3,647.1,17,24.6,22,4.5,0,8.71,0
56,92.9,133.3,699.6,9.2,24.3,25,4,0,9.41,0
57,94.8,108.3,647.1,17,24.6,22,4.5,0,10.01,1
58,93.9,135.7,586.7,15.1,23.5,36,5.4,0,10.02,1
59,81.5,9.1,55.2,2.7,5.8,54,5.8,0,10.93,1
60,92.9,137,706.4,9.2,21.5,15,0.9,0,11.06,1
61,91,129.5,692.6,7,13.9,59,6.3,0,11.24,1
62,63.5,70.8,665.3,0.8,22.6,38,3.6,0,11.32,1
63,91,129.5,692.6,7,21.6,33,2.2,0,11.53,1
64,90.1,37.6,83.7,7.2,12.4,54,3.6,0,12.1,1
65,83.9,8.7,32.1,2.1,8.8,68,2.2,0,13.05,1
66,91.4,37.9,673.8,5.2,20.2,37,2.7,0,13.7,1
67,90.6,50.1,100.4,7.8,15.1,64,4,0,13.99,1
68,92.9,137,706.4,9.2,22.1,34,1.8,0,14.57,1
69,93.5,139.4,594.2,20.3,22.9,31,7.2,0,15.45,1
70,91,129.5,692.6,7,20.7,37,2.2,0,17.2,1
71,92.4,117.9,668,12.2,19.6,33,6.3,0,19.23,1
72,93.7,80.9,685.2,17.9,23.2,26,4.9,0,23.41,1
73,90.6,43.7,686.9,6.7,18.4,25,3.1,0,24.23,1
74,93.5,139.4,594.2,20.3,5.1,96,5.8,0,26,1
75,94.3,85.1,692.3,15.9,20.1,47,4.9,0,26.13,1
76,87.6,52.2,103.8,5,11,46,5.8,0,27.35,1
77,91.7,35.8,80.8,7.8,17,27,4.9,0,28.66,1
78,91.7,35.8,80.8,7.8,17,27,4.9,0,28.66,1
79,92.4,124.1,680.7,8.5,16.9,60,1.3,0,29.48,1
80,88.6,91.8,709.9,7.1,12.4,73,6.3,0,30.32,1
81,92.9,133.3,699.6,9.2,19.4,19,1.3,0,31.72,1
82,90.1,39.7,86.6,6.2,15.2,27,3.1,0,31.86,1
83,90.2,99.6,631.2,6.3,16.2,59,3.1,0,32.07,1
84,93.3,141.2,713.9,13.9,18.6,49,3.6,0,35.88,1
85,87.6,52.2,103.8,5,11,46,5.8,0,36.85,1
86,88.3,150.3,309.9,6.8,13.4,79,3.6,0,37.02,1
87,90.1,82.9,735.7,6.2,15.4,57,4.5,0,37.71,1
88,93.5,149.3,728.6,8.1,22.9,39,4.9,0,48.55,1
89,91.7,48.5,696.1,11.1,16.1,44,4,0,49.37,1
90,92.2,81.8,480.8,11.9,20.1,34,4.5,0,58.3,1
91,93.5,149.3,728.6,8.1,28.3,26,3.1,0,64.1,1
92,92.2,81.8,480.8,11.9,16.4,43,4,0,71.3,1
93,92.9,133.3,699.6,9.2,26.4,21,4.5,0,88.49,1
94,93.5,149.3,728.6,8.1,27.8,27,3.1,0,95.18,1
95,91,129.5,692.6,7,18.7,43,2.7,0,103.39,1
96,84.4,73.4,671.9,3.2,24.3,36,3.1,0,105.66,1
97,92.5,121.1,674.4,8.6,17.7,25,3.1,0,154.88,1
98,91.4,142.4,601.4,10.6,19.6,41,5.8,0,196.48,1
99,92.5,121.1,674.4,8.6,18.2,46,1.8,0,200.94,1
100,91,129.5,692.6,7,18.8,40,2.2,0,212.88,1
101,92.5,121.1,674.4,8.6,25.1,27,4,0,1090.84,1
102,94.2,122.3,589.9,12.9,15.4,66,4,0,10.13,1
103,91.8,175.1,700.7,13.8,21.9,73,7.6,1,0,0
104,91.8,175.1,700.7,13.8,22.4,54,7.6,0,2.87,0
105,91.8,175.1,700.7,13.8,26.8,38,6.3,0,0.76,0
106,91.8,175.1,700.7,13.8,25.7,39,5.4,0,0.09,0
107,92.2,91.6,503.6,9.6,20.7,70,2.2,0,0.75,0
108,93.1,157.3,666.7,13.5,28.7,28,2.7,0,0,0
109,93.1,157.3,666.7,13.5,21.7,40,0.4,0,2.47,0
110,93.1,157.3,666.7,13.5,26.8,25,3.1,0,0.68,0
111,93.1,157.3,666.7,13.5,24,36,3.1,0,0.24,0
112,93.1,157.3,666.7,13.5,22.1,37,3.6,0,0.21,0
113,91.9,109.2,565.5,8,21.4,38,2.7,0,1.52,0
114,91.6,138.1,621.7,6.3,18.9,41,3.1,0,10.34,1
115,87.5,77,694.8,5,22.3,46,4,0,0,0
116,94.2,117.2,581.1,11,23.9,41,2.2,0,8.02,0
117,94.2,117.2,581.1,11,21.4,44,2.7,0,0.68,0
118,91.8,170.9,692.3,13.7,20.6,59,0.9,0,0,0
119,91.8,170.9,692.3,13.7,23.7,40,1.8,0,1.38,0
120,93.6,97.9,542,14.4,28.3,32,4,0,8.85,0
121,91.6,112.4,573,8.9,11.2,84,7.6,0,3.3,0
122,91.6,112.4,573,8.9,21.4,42,3.1,0,4.25,0
123,91.1,141.1,629.1,7.1,19.3,39,3.6,0,1.56,0
124,94.3,167.6,684.4,13,21.8,53,3.1,0,6.54,0
125,93.7,102.2,550.3,14.6,22.1,54,7.6,0,0.79,0
126,94.3,131.7,607.1,22.7,19.4,55,4,0,0.17,0
127,92.1,152.6,658.2,14.3,19.1,53,2.7,0,4.4,0
128,92.1,152.6,658.2,14.3,21.8,56,3.1,0,0.52,0
129,92.1,152.6,658.2,14.3,20.1,58,4.5,0,9.27,0
130,92.1,152.6,658.2,14.3,20.2,47,4,0,3.09,0
131,84.4,27.2,353.5,6.8,4.8,57,8.5,0,8.98,0
132,84,27.8,354.6,5.3,5.1,61,8,0,11.19,1
133,84.6,26.4,352,2,5.1,61,4.9,0,5.38,0
134,85.4,25.4,349.7,2.6,4.6,21,8.5,0,17.85,1
135,85.4,25.4,349.7,2.6,4.6,21,8.5,0,10.73,1
136,85.4,25.4,349.7,2.6,4.6,21,8.5,0,22.03,1
137,85.4,25.4,349.7,2.6,4.6,21,8.5,0,9.77,0
138,84.7,26.7,352.6,4.1,2.2,59,4.9,0,9.27,0
139,85.4,25.4,349.7,2.6,5.1,24,8.5,0,24.77,1
140,86.9,6.6,18.7,3.2,8.8,35,3.1,0,1.1,0
141,85.2,4.9,15.8,6.3,7.5,46,8,0,24.24,1
142,91.6,104.2,474.9,9,25.3,39,0.9,0,8,0
143,91.6,100.2,466.3,6.3,22.9,40,1.3,0,2.64,0
144,93.1,180.4,430.8,11,26.9,28,5.4,0,86.45,1
145,92.3,88.8,440.9,8.5,17.1,67,3.6,0,6.57,0
146,93.1,180.4,430.8,11,22.2,48,1.3,0,0,0
147,90.4,89.5,290.8,6.4,14.3,46,1.8,0,0.9,0
148,90.4,93.3,298.1,7.5,19.1,39,5.4,0,3.52,0
149,89.6,84.1,714.3,5.7,17.1,53,5.4,0,0.41,0
150,89.6,84.1,714.3,5.7,23.8,35,3.6,0,5.18,0
151,92.4,105.8,758.1,9.9,24.8,28,1.8,0,14.29,1
152,92.6,115.4,777.1,8.8,19.7,41,1.8,0,1.58,0
153,91.2,134.7,817.5,7.2,18.5,30,2.7,0,0,0
154,92.4,96.2,739.4,8.6,18.6,24,5.8,0,0,0
155,92.4,96.2,739.4,8.6,19.2,24,4.9,0,3.78,0
156,92.8,119,783.5,7.5,21.6,27,2.2,0,0,0
157,92.8,119,783.5,7.5,21.6,28,6.3,0,4.41,0
158,92.8,119,783.5,7.5,18.9,34,7.2,0,34.36,1
159,92.8,119,783.5,7.5,16.8,28,4,0,7.21,0
160,92.8,119,783.5,7.5,16.8,28,4,0,1.01,0
161,90.7,136.9,822.8,6.8,12.9,39,2.7,0,2.18,0
162,88.1,53.3,726.9,5.4,13.7,56,1.8,0,4.42,0
163,92.2,102.3,751.5,8.4,23.5,27,4,0,3.33,0
164,92.2,102.3,751.5,8.4,24.2,27,3.1,0,6.58,0
165,91.2,124.4,795.3,8.5,21.5,28,4.5,0,15.64,1
166,91.2,124.4,795.3,8.5,17.1,41,2.2,0,11.22,1
167,92.1,87.7,721.1,9.5,18.1,54,3.1,0,2.13,0
168,91.6,108.4,764,6.2,18,51,5.4,0,0,0
169,91.6,108.4,764,6.2,9.8,86,1.8,0,0,0
170,91.6,108.4,764,6.2,19.3,44,2.2,0,0,0
171,91.6,108.4,764,6.2,23,34,2.2,0,56.04,1
172,91.6,108.4,764,6.2,22.7,35,2.2,0,7.48,0
173,91.6,108.4,764,6.2,20.4,41,1.8,0,1.47,0
174,91.6,108.4,764,6.2,19.3,44,2.2,0,3.93,0
175,91.9,111.7,770.3,6.5,15.7,51,2.2,0,0,0
176,91.5,130.1,807.1,7.5,20.6,37,1.8,0,0,0
177,91.5,130.1,807.1,7.5,15.9,51,4.5,0,2.18,0
178,91.5,130.1,807.1,7.5,12.2,66,4.9,0,6.1,0
179,91.5,130.1,807.1,7.5,16.8,43,3.1,0,5.83,0
180,91.5,130.1,807.1,7.5,21.3,35,2.2,0,28.19,1
181,92.1,99,745.3,9.6,10.1,75,3.6,0,0,0
182,92.1,99,745.3,9.6,17.4,57,4.5,0,0,0
183,92.1,99,745.3,9.6,12.8,64,3.6,0,1.64,0
184,92.1,99,745.3,9.6,10.1,75,3.6,0,3.71,0
185,92.1,99,745.3,9.6,15.4,53,6.3,0,7.31,0
186,92.1,99,745.3,9.6,20.6,43,3.6,0,2.03,0
187,92.1,99,745.3,9.6,19.8,47,2.7,0,1.72,0
188,92.1,99,745.3,9.6,18.7,50,2.2,0,5.97,0
189,92.1,99,745.3,9.6,20.8,35,4.9,0,13.06,1
190,92.1,99,745.3,9.6,20.8,35,4.9,0,1.26,0
191,92.5,122,789.7,10.2,15.9,55,3.6,0,0,0
192,92.5,122,789.7,10.2,19.7,39,2.7,0,0,0
193,92.5,122,789.7,10.2,21.1,39,2.2,0,8.12,0
194,92.5,122,789.7,10.2,18.4,42,2.2,0,1.09,0
195,92.5,122,789.7,10.2,17.3,45,4,0,3.94,0
196,88.2,55.2,732.3,11.6,15.2,64,3.1,0,0.52,0
197,91.9,111.7,770.3,6.5,15.9,53,2.2,0,2.93,0
198,91.9,111.7,770.3,6.5,21.1,35,2.7,0,5.65,0
199,91.9,111.7,770.3,6.5,19.6,45,3.1,0,20.03,1
200,91.1,132.3,812.1,12.5,15.9,38,5.4,0,1.75,0
201,91.1,132.3,812.1,12.5,16.4,27,3.6,0,0,0
202,91.2,94.3,744.4,8.4,16.8,47,4.9,0,12.64,1
203,91,276.3,825.1,7.1,13.8,77,7.6,0,0,0
204,91,276.3,825.1,7.1,13.8,77,7.6,0,11.06,1
205,91.9,133.6,520.5,8,14.2,58,4,0,0,0
206,92,203.2,664.5,8.1,10.4,75,0.9,0,0,0
207,94.8,222.4,698.6,13.9,20.3,42,2.7,0,0,0
208,90.3,290,855.3,7.4,10.3,78,4,0,18.3,1
209,91.2,94.3,744.4,8.4,15.4,57,4.9,0,39.35,1
210,92.1,207,672.6,8.2,21.1,54,2.2,0,0,0
211,93.7,231.1,715.1,8.4,21.9,42,2.2,0,174.63,1
212,90.9,18.9,30.6,8,8.7,51,5.8,0,0,0
213,18.7,1.1,171.4,0,5.2,100,0.9,0,0,0
214,93.7,101.3,458.8,11.9,19.3,39,7.2,0,7.73,0
215,90.7,194.1,643,6.8,16.2,63,2.7,0,16.33,1
216,95.2,217.7,690,18,28.2,29,1.8,0,5.86,0
217,91.6,248.4,753.8,6.3,20.5,58,2.7,0,42.87,1
218,91.6,273.8,819.1,7.7,21.3,44,4.5,0,12.18,1
219,91.6,181.3,613,7.6,20.9,50,2.2,0,16,1
220,90.5,96.7,750.5,11.4,20.6,55,5.4,0,24.59,1
221,90.9,18.9,30.6,8,11.6,48,5.4,0,0,0
222,94.8,227,706.7,12,23.3,34,3.1,0,28.74,1
223,94.8,227,706.7,12,23.3,34,3.1,0,0,0
224,84.7,9.5,58.3,4.1,7.5,71,6.3,0,9.96,0
225,91.1,91.3,738.1,7.2,20.7,46,2.7,0,30.18,1
226,91,276.3,825.1,7.1,21.9,43,4,0,70.76,1
227,93.4,15,25.6,11.4,15.2,19,7.6,0,0,0
228,84.1,4.6,46.7,2.2,5.3,68,1.8,0,0,0
229,85,9,56.9,3.5,10.1,62,1.8,0,51.78,1
230,90.5,96.7,750.5,11.4,20.4,55,4.9,0,3.64,0
231,91.6,181.3,613,7.6,24.3,33,3.6,0,3.63,0
232,93.7,231.1,715.1,8.4,25.9,32,3.1,0,0,0
233,93.3,49.5,297.7,14,28,34,4.5,0,0,0
234,93.3,49.5,297.7,14,28,34,4.5,0,8.16,0
235,91.1,88.2,731.7,8.3,22.8,46,4,0,4.95,0
236,94.8,227,706.7,12,25,36,4,0,0,0
237,90.7,194.1,643,6.8,21.3,41,3.6,0,0,0
238,87.9,84.8,725.1,3.7,21.8,34,2.2,0,6.04,0
239,94.6,212.1,680.9,9.5,27.9,27,2.2,0,0,0
240,87.1,291.3,860.6,4,17,67,4.9,0,3.95,0
241,84.7,8.2,55,2.9,14.2,46,4,0,0,0
242,90.3,290,855.3,7.4,19.9,44,3.1,0,7.8,0
243,92.3,96.2,450.2,12.1,23.4,31,5.4,0,0,0
244,84.1,7.3,52.8,2.7,14.7,42,2.7,0,0,0
245,84.6,3.2,43.6,3.3,8.2,53,9.4,0,4.62,0
246,92.3,92.1,442.1,9.8,22.8,27,4.5,0,1.63,0
247,93.7,231.1,715.1,8.4,26.4,33,3.6,0,0,0
248,93.6,235.1,723.1,10.1,24.1,50,4,0,0,0
249,94.8,222.4,698.6,13.9,27.5,27,4.9,0,746.28,1
250,92.7,164.1,575.8,8.9,26.3,39,3.1,0,7.02,0
251,93.4,17.3,28.3,9.9,13.8,24,5.8,0,0,0
252,92,203.2,664.5,8.1,24.9,42,5.4,0,2.44,0
253,91.6,181.3,613,7.6,24.8,36,4,0,3.05,0
254,91.7,191.4,635.9,7.8,26.2,36,4.5,0,185.76,1
255,95.2,217.7,690,18,30.8,19,4.5,0,0,0
256,88.9,263.1,795.9,5.2,29.3,27,3.6,0,6.3,0
257,91.2,94.3,744.4,8.4,22.3,48,4,0,0.72,0
258,93.7,231.1,715.1,8.4,26.9,31,3.6,0,4.96,0
259,91.6,248.4,753.8,6.3,20.4,56,2.2,0,0,0
260,91.6,248.4,753.8,6.3,20.4,56,2.2,0,0,0
261,92.1,207,672.6,8.2,27.9,33,2.2,0,2.35,0
262,94.8,222.4,698.6,13.9,26.2,34,5.8,0,0,0
263,91.6,181.3,613,7.6,24.6,44,4,0,3.2,0
264,89.7,287.2,849.3,6.8,19.4,45,3.6,0,0,0
265,92.1,178,605.3,9.6,23.3,40,4,0,6.36,0
266,94.8,222.4,698.6,13.9,23.9,38,6.7,0,0,0
267,93.6,235.1,723.1,10.1,20.9,66,4.9,0,15.34,1
268,90.6,269.8,811.2,5.5,22.2,45,3.6,0,0,0
269,90.8,84.7,376.6,5.6,23.8,51,1.8,0,0,0
270,92.1,207,672.6,8.2,26.8,35,1.3,0,0.54,0
271,89.4,253.6,768.4,9.7,14.2,73,2.7,0,0,0
272,93.7,231.1,715.1,8.4,23.6,53,4,0,6.43,0
273,91.1,91.3,738.1,7.2,19.1,46,2.2,0,0.33,0
274,90.3,290,855.3,7.4,16.2,58,3.6,0,0,0
275,92.1,207,672.6,8.2,25.5,29,1.8,0,1.23,0
276,87.9,24.9,41.6,3.7,10.9,64,3.1,0,3.35,0
277,90.7,80.9,368.3,16.8,14.8,78,8,0,0,0
278,90.3,290,855.3,7.4,16.2,58,3.6,0,9.96,0
279,94,47.9,100.7,10.7,17.3,80,4.5,0,0,0
280,92,203.2,664.5,8.1,19.1,70,2.2,0,0,0
281,93.4,17.3,28.3,9.9,8.9,35,8,0,0,0
282,89.7,284.9,844,10.1,10.5,77,4,0,0,0
283,91.6,181.3,613,7.6,19.3,61,4.9,0,0,0
284,95.2,217.7,690,18,23.4,49,5.4,0,6.43,0
285,90.5,196.8,649.9,16.3,11.8,88,4.9,0,9.71,0
286,91.5,238.2,730.6,7.5,17.7,65,4,0,0,0
287,89.4,266.2,803.3,5.6,17.4,54,3.1,0,0,0
288,91.6,248.4,753.8,6.3,16.8,56,3.1,0,0,0
289,94.6,160,567.2,16.7,17.9,48,2.7,0,0,0
290,91.6,248.4,753.8,6.3,16.6,59,2.7,0,0,0
291,91.7,191.4,635.9,7.8,19.9,50,4,0,82.75,1
292,93.7,231.1,715.1,8.4,18.9,64,4.9,0,3.32,0
293,91.6,273.8,819.1,7.7,15.5,72,8,0,1.94,0
294,93.7,231.1,715.1,8.4,18.9,64,4.9,0,0,0
295,93.7,231.1,715.1,8.4,18.9,64,4.9,0,0,0
296,91,276.3,825.1,7.1,14.5,76,7.6,0,3.71,0
297,75.1,4.4,16.2,1.9,4.6,82,6.3,0,5.39,0
298,75.1,4.4,16.2,1.9,5.1,77,5.4,0,2.14,0
299,79.5,3.6,15.3,1.8,4.6,59,0.9,0,6.84,0
300,87.2,15.1,36.9,7.1,10.2,45,5.8,0,3.18,0
301,90.2,18.5,41.1,7.3,11.2,41,5.4,0,5.55,0
302,91.3,20.6,43.5,8.5,13.3,27,3.6,0,6.61,0
303,91,14.6,25.6,12.3,13.7,33,9.4,0,61.13,1
304,91,14.6,25.6,12.3,17.6,27,5.8,0,0,0
305,89.6,25.4,73.7,5.7,18,40,4,0,38.48,1
306,88.2,96.2,229,4.7,14.3,79,4,0,1.94,0
307,90.5,61.1,252.6,9.4,24.5,50,3.1,0,70.32,1
308,93,103.8,316.7,10.8,26.4,35,2.7,0,10.08,1
309,93.7,121.7,350.2,18,22.7,40,9.4,0,3.19,0
310,93.5,85.3,395,9.9,27.2,28,1.3,0,1.76,0
311,93.7,101.3,423.4,14.7,26.1,45,4,0,7.36,0
312,93.7,101.3,423.4,14.7,18.2,82,4.5,0,2.21,0
313,89.2,103.9,431.6,6.4,22.6,57,4.9,0,278.53,1
314,93.2,114.4,560,9.5,30.2,25,4.5,0,2.75,0
315,93.2,114.4,560,9.5,30.2,22,4.9,0,0,0
316,94.9,130.3,587.1,14.1,23.4,40,5.8,0,1.29,0
317,94.9,130.3,587.1,14.1,31,27,5.4,0,0,0
318,94.9,130.3,587.1,14.1,33.1,25,4,0,26.43,1
319,95,135.5,596.3,21.3,30.6,28,3.6,0,2.07,0
320,95.1,141.3,605.8,17.7,24.1,43,6.3,0,2,0
321,95.1,141.3,605.8,17.7,26.4,34,3.6,0,16.4,1
322,95.1,141.3,605.8,17.7,19.4,71,7.6,0,46.7,1
323,95.9,158,633.6,11.3,27.5,29,4.5,0,43.32,1
324,96,164,643,14,30.8,30,4.9,0,8.59,0
325,96.2,175.5,661.8,16.8,23.9,42,2.2,0,0,0
326,96.2,175.5,661.8,16.8,32.6,26,3.1,0,2.77,0
327,96.1,181.1,671.2,14.3,32.3,27,2.2,0,14.68,1
328,96.1,181.1,671.2,14.3,33.3,26,2.7,0,40.54,1
329,96.1,181.1,671.2,14.3,27.3,63,4.9,6.4,10.82,1
330,96.1,181.1,671.2,14.3,21.6,65,4.9,0.8,0,0
331,96.1,181.1,671.2,14.3,21.6,65,4.9,0.8,0,0
332,96.1,181.1,671.2,14.3,20.7,69,4.9,0.4,0,0
333,94.5,139.4,689.1,20,29.2,30,4.9,0,1.95,0
334,94.5,139.4,689.1,20,28.9,29,4.9,0,49.59,1
335,91,163.2,744.4,10.1,26.7,35,1.8,0,5.8,0
336,91,166.9,752.6,7.1,21.1,71,7.6,1.4,2.17,0
337,91,166.9,752.6,7.1,18.2,62,5.4,0,0.43,0
338,81.6,56.7,665.6,1.9,27.8,35,2.7,0,0,0
339,81.6,56.7,665.6,1.9,27.8,32,2.7,0,6.44,0
340,81.6,56.7,665.6,1.9,21.9,71,5.8,0,54.29,1
341,81.6,56.7,665.6,1.9,21.2,70,6.7,0,11.16,1
